acl 2.3.1-1
perl-mailtools 2.21-5
perl-timedate 2.33-3
pinentry 1.2.0-1
pixman 0.40.0-1
playerctl 2.4.1-1
polkit 0.120-2
polybar 3.5.7-1
poppler 21.11.0-1
poppler-data 0.4.11-1
popt 1.18-1
potrace 1.16-2
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
python 3.9.7-2
python-appdirs 1.4.4-3
python-cairo 1.20.1-1
python-gobject 3.42.0-1
python-more-itertools 8.10.0-1
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-pyparsing 2.4.7-3
python-setuptools 1:57.4.0-2
python-six 1.16.0-1
qt5-base 5.15.2+kde+r256-1
qt5-declarative 5.15.2+kde+r40-1
qt5-svg 5.15.2+kde+r13-1
rav1e 0.4.1-1
readline 8.1.001-1
reflector 2021.7.8-1
rest 0.8.1-3
rhash 1.4.2-1
ripgrep 13.0.0-2
rofi 1.7.0-1
rsync 3.2.3-4
rtkit 0.13-1
run-parts 5.5-1
sbc 1.5-2
sddm 0.19.0-7
sed 4.8-1
semver 7.3.5-2
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spotify 1:1.1.72.439-1
sqlite 3.36.0-1
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.8.p2-1
svt-av1 0.8.7-1
systemd 249.6-3
systemd-libs 249.6-3
systemd-sysvcompat 249.6-3
t1lib 5.1.2-8
tar 1.34-1
tcl 8.6.12-1
tdb 1.4.5-1
texinfo 6.8-2
texlive-bin 2021.58686-3
texlive-core 2021.58710-2
texlive-latexextra 2021.58668-2
tracker3 3.2.1-1
tslib 1.22-1
ttf-font-awesome-4 4.7.0-5
tzdata 2021e-1
unzip 6.0-15
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
vulkan-icd-loader 1.2.194-1
wayland 1.19.0-2
webrtc-audio-processing 0.3.1-3
which 2.21-5
wpa_supplicant 2:2.9-8
x265 3.5-1
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-2
xkeyboard-config 2.34-1
xmonad 0.15-153
xmonad-contrib 0.16-133
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.1-3
xorg-server-common 21.1.1-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xkbcomp 1.4.5-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xwininfo 1.1.5-2
xorgproto 2021.5-1
xxhash 0.8.0-1
xz 5.2.5-2
yay 11.0.2-1
zeromq 4.3.4-2
zip 3.0-9
zlib 1:1.2.11-4
zscroll-git 1.0.r34.g7b769b1-1
zstd 1.5.0-1
zziplib 0.13.72-1
